station_ID,Charing station name,City,State,Address line 1,Address line 2,Lng,Lat,Category
7948, ,Sydney,New South Wales,197-201 Herring Road,"Macquarie Park NSW 2113, Australia",151.1206646,-33.7780797,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7949, ,Sydney,New South Wales,Dowling Street,"Freshwater NSW 2096, Australia",151.2838699,-33.778995,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7950, ,Sydney,New South Wales,Stanley Street,"Peakhurst NSW 2210, Australia",151.063567,-33.9621828,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7951, ,Sydney,New South Wales,Spencer Street,"Five Dock NSW 2046, Australia",151.116168,-33.8695391,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7952, ,Sydney,New South Wales,Brighton Street,"Burwood Council NSW 2133, Australia",151.1096799,-33.8947565,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7953, ,Sydney,New South Wales,Park Street,"Sydney NSW 2103, Australia",151.3037838,-33.6760959,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7954, ,Sydney,New South Wales,Mulgoa Road,"Jamisontown NSW 2750, Australia",150.6737814,-33.7702608,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7955, ,Sydney,New South Wales,Smidmore Street,"Marrickville NSW 2204, Australia",151.1710728,-33.9079872,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7956, ,Sydney,New South Wales,Park Avenue,"Burwood Council NSW 2134, Australia",151.1019416,-33.873882,"['access', 'access.yes', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7957, ,Sydney,New South Wales,Everton Road,"Strathfield NSW 2134, Australia",151.0954277,-33.8720579,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7958, ,Sydney,New South Wales,Ingham Drive,"Casula NSW 2170, Australia",150.90026,-33.9488297,"['fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7959, ,Sydney,New South Wales,Cross Street,"Brookvale NSW 2100, Australia",151.2644254,-33.7666889,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7960, ,Sydney,New South Wales,Hiles Lane,"Macdonaldtown NSW 2015, Australia",151.1999188,-33.9021318,"['access', 'access.yes', 'fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7961,Coffs Harbour Supercharger,Coffs Harbour,New South Wales,Coffs Harbour Supercharger,"Park Beach Plaza, Coffs Harbour NSW 2450, Australia",153.1315933,-30.2814283,"['fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7962,Evie Networks Fast Charger,Macksville,New South Wales,Evie Networks Fast Charger,"Cooper Street, Macksville NSW 2447, Australia",152.9198419,-30.7101617,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7963,Chargefox,Perth,Western Australia,Chargefox,"Wellington Street, West Perth WA 6005, Australia",115.8489479,-31.9480278,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7964,Perth North,City Of Stirling,Western Australia,Perth North,"Karrinyup Road Exit, Karrinyup WA 6921, Australia",115.7766534,-31.8771547,"['fee', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7965,Lakeside Joondalup Cinemas,Joondalup,Western Australia,Lakeside Joondalup Cinemas,"McLarty Avenue, Joondalup WA 6027, Australia",115.7671672,-31.7426,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7966,Lakeside Joondalup - Myer Carpark,Joondalup,Western Australia,Lakeside Joondalup - Myer Carpark,"Collier Pass, Joondalup WA 6027, Australia",115.7656665,-31.7454229,"['access', 'access.yes', 'no_fee', 'no_fee.no', 'service', 'service.vehicle', 'service.vehicle.charging_station']"
7967,Tesla Destination Charger,Fremantle,Western Australia,Tesla Destination Charger,"Marine Terrace, Fremantle WA 6160, Australia",115.7461221,-32.0575795,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7968,Tesla Destination Charger,Fremantle,Western Australia,Tesla Destination Charger,"Essex Street, Fremantle WA 6160, Australia",115.7472283,-32.0573845,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
7969, ,City Of Vincent,Western Australia,Kaata Lane,"Mount Lawley WA 6050, Australia",115.8715309,-31.9362523,"['service', 'service.vehicle', 'service.vehicle.charging_station']"
